Ages,Ages.Text,q,l,d,L,T,e
0,0–1,0.005650,"100,000",565,"99,505","7,873,749",78.7
1,1–2,0.000367,"99,435",36,"99,417","7,774,244",78.2
2,2–3,0.000264,"99,399",26,"99,385","7,674,827",77.2
3,3–4,0.000187,"99,372",19,"99,363","7,575,442",76.2
4,4–5,0.000148,"99,354",15,"99,346","7,476,079",75.2
5,5–6,0.000142,"99,339",14,"99,332","7,376,732",74.3
6,6–7,0.000126,"99,325",13,"99,319","7,277,400",73.3
7,7–8,0.000114,"99,312",11,"99,307","7,178,082",72.3
8,8–9,0.000103,"99,301",10,"99,296","7,078,775",71.3
9,9–10,0.000094,"99,291",9,"99,286","6,979,479",70.3
10,10–11,0.000091,"99,282",9,"99,277","6,880,192",69.3
11,11–12,0.000100,"99,273",10,"99,268","6,780,915",68.3
12,12–13,0.000128,"99,263",13,"99,256","6,681,648",67.3
13,13–14,0.000179,"99,250",18,"99,241","6,582,391",66.3
14,14–15,0.000248,"99,232",25,"99,220","6,483,150",65.3
15,15–16,0.000325,"99,208",32,"99,192","6,383,930",64.3
16,16–17,0.000405,"99,175",40,"99,155","6,284,739",63.4
17,17–18,0.000489,"99,135",49,"99,111","6,185,583",62.4
18,18–19,0.000575,"99,087",57,"99,058","6,086,473",61.4
19,19–20,0.000661,"99,030",65,"98,997","5,987,414",60.5
20,20–21,0.000750,"98,964",74,"98,927","5,888,417",59.5
21,21–22,0.000837,"98,890",83,"98,849","5,789,490",58.5
22,22–23,0.000915,"98,807",90,"98,762","5,690,642",57.6
23,23–24,0.000978,"98,717",97,"98,669","5,591,880",56.6
24,24–25,0.001029,"98,620",101,"98,570","5,493,211",55.7
25,25–26,0.001075,"98,519",106,"98,466","5,394,642",54.8
26,26–27,0.001120,"98,413",110,"98,358","5,296,176",53.8
27,27–28,0.001164,"98,303",114,"98,245","5,197,818",52.9
28,28–29,0.001209,"98,188",119,"98,129","5,099,573",51.9
29,29–30,0.001256,"98,070",123,"98,008","5,001,444",51.0
30,30–31,0.001306,"97,946",128,"97,882","4,903,436",50.1
31,31–32,0.001357,"97,818",133,"97,752","4,805,553",49.1
32,32–33,0.001414,"97,686",138,"97,617","4,707,801",48.2
33,33–34,0.001475,"97,548",144,"97,476","4,610,185",47.3
34,34–35,0.001538,"97,404",150,"97,329","4,512,709",46.3
35,35–36,0.001610,"97,254",157,"97,176","4,415,380",45.4
36,36–37,0.001686,"97,097",164,"97,015","4,318,205",44.5
37,37–38,0.001753,"96,934",170,"96,849","4,221,189",43.5
38,38–39,0.001809,"96,764",175,"96,676","4,124,340",42.6
39,39–40,0.001864,"96,589",180,"96,499","4,027,664",41.7
40,40–41,0.001930,"96,408",186,"96,315","3,931,166",40.8
41,41–42,0.002020,"96,222",194,"96,125","3,834,850",39.9
42,42–43,0.002139,"96,028",205,"95,925","3,738,725",38.9
43,43–44,0.002289,"95,823",219,"95,713","3,642,800",38.0
44,44–45,0.002462,"95,603",235,"95,486","3,547,087",37.1
45,45–46,0.002654,"95,368",253,"95,241","3,451,601",36.2
46,46–47,0.002863,"95,115",272,"94,979","3,356,359",35.3
47,47–48,0.003091,"94,843",293,"94,696","3,261,381",34.4
48,48–49,0.003347,"94,549",316,"94,391","3,166,685",33.5
49,49–50,0.003638,"94,233",343,"94,062","3,072,293",32.6
50,50–51,0.003950,"93,890",371,"93,705","2,978,232",31.7
51,51–52,0.004297,"93,519",402,"93,318","2,884,527",30.8
52,52–53,0.004709,"93,118",438,"92,898","2,791,209",30.0
53,53–54,0.005186,"92,679",481,"92,439","2,698,310",29.1
54,54–55,0.005701,"92,198",526,"91,936","2,605,872",28.3
55,55–56,0.006223,"91,673",571,"91,388","2,513,936",27.4
56,56–57,0.006744,"91,102",614,"90,795","2,422,548",26.6
57,57–58,0.007281,"90,488",659,"90,158","2,331,753",25.8
58,58–59,0.007848,"89,829",705,"89,477","2,241,595",25.0
59,59–60,0.008454,"89,124",753,"88,747","2,152,118",24.1
60,60–61,0.009109,"88,371",805,"87,968","2,063,371",23.3
61,61–62,0.009795,"87,566",858,"87,137","1,975,403",22.6
62,62–63,0.010492,"86,708",910,"86,253","1,888,266",21.8
63,63–64,0.011192,"85,798",960,"85,318","1,802,013",21.0
64,64–65,0.011915,"84,838","1,011","84,333","1,716,695",20.2
65,65–66,0.012691,"83,827","1,064","83,295","1,632,362",19.5
66,66–67,0.013610,"82,763","1,126","82,200","1,549,067",18.7
67,67–68,0.014606,"81,637","1,192","81,041","1,466,867",18.0
68,68–69,0.015724,"80,444","1,265","79,812","1,385,826",17.2
69,69–70,0.017004,"79,180","1,346","78,506","1,306,014",16.5
70,70–71,0.018391,"77,833","1,431","77,117","1,227,508",15.8
71,71–72,0.019831,"76,402","1,515","75,644","1,150,390",15.1
72,72–73,0.021913,"74,887","1,641","74,066","1,074,746",14.4
73,73–74,0.023804,"73,246","1,744","72,374","1,000,680",13.7
74,74–75,0.026193,"71,502","1,873","70,566","928,306",13.0
75,75–76,0.028692,"69,629","1,998","68,630","857,740",12.3
76,76–77,0.031786,"67,631","2,150","66,557","789,110",11.7
77,77–78,0.035136,"65,482","2,301","64,331","722,553",11.0
78,78–79,0.038673,"63,181","2,443","61,959","658,222",10.4
79,79–80,0.042747,"60,738","2,596","59,439","596,263",9.8
80,80–81,0.047201,"58,141","2,744","56,769","536,823",9.2
81,81–82,0.052599,"55,397","2,914","53,940","480,054",8.7
82,82–83,0.058586,"52,483","3,075","50,946","426,114",8.1
83,83–84,0.065124,"49,408","3,218","47,800","375,168",7.6
84,84–85,0.073400,"46,191","3,390","44,496","327,369",7.1
85,85–86,0.081636,"42,800","3,494","41,053","282,873",6.6
86,86–87,0.089815,"39,306","3,530","37,541","241,820",6.2
87,87–88,0.100898,"35,776","3,610","33,971","204,279",5.7
88,88–89,0.113081,"32,166","3,637","30,348","170,308",5.3
89,89–90,0.126406,"28,529","3,606","26,726","139,960",4.9
90,90–91,0.140901,"24,923","3,512","23,167","113,234",4.5
91,91–92,0.156577,"21,411","3,352","19,735","90,067",4.2
92,92–93,0.173422,"18,059","3,132","16,493","70,333",3.9
93,93–94,0.191399,"14,927","2,857","13,498","53,840",3.6
94,94–95,0.210444,"12,070","2,540","10,800","40,342",3.3
95,95–96,0.230465,"9,530","2,196","8,432","29,542",3.1
96,96–97,0.251342,"7,334","1,843","6,412","21,110",2.9
97,97–98,0.272927,"5,490","1,498","4,741","14,698",2.7
98,98–99,0.295049,"3,992","1,178","3,403","9,957",2.5
99,99–100,0.317517,"2,814",894,"2,367","6,554",2.3
100,100 and over,1.000000,"1,921","1,921","4,187","4,187",2.2
,,,,,,,
,,,,,,,